f1,f2,f3,f4,f5,f6,f7,target
0.6382139132565577,0.849057161,0.14878971302128394,0.9070150396635135,-0.695095954,0.20307286909269703,0.46773349343187853,1
-0.845778925,-1.125480085,-0.16105964,0.5305955973438456,-0.695095954,-0.6843559,-0.365822807,0
1.2318110483827178,1.9460222980978694,-0.264342757,-1.288765041,-0.695095954,-1.102715177,0.6036394119763423,1
-0.845778925,-1.000112641,-0.16105964,0.1541761550241778,0.12070868210130455,-0.494192593,-0.921527007,0
-1.142577492,0.5042966897679255,-1.503740167,0.9070150396635135,0.7629378638451818,1.4074404846722388,5.484171953,1
0.34141534569347776,-0.153882392,0.25207283053311286,-1.288765041,-0.695095954,-0.811131439,-0.818842535,0
-0.252181789,-1.344873112,-0.98732458,0.7188053185036796,0.068636046,-0.126543531,-0.676896354,1
1.8254081835088778,-0.185224253,-3.569402517,-1.288765041,-0.695095954,0.41859128451219346,-1.021191348,0
-0.548980357,2.384808352806983,0.045506595509454996,1.534380777,4.0174776361959115,-0.1899313,-0.948708191,1
1.2318110483827178,0.12819435716011407,1.3881871231632312,-1.288765041,-0.695095954,-4.056585224,-0.725218458,1
0.044616778,-0.341933559,1.1816208881395733,-1.288765041,-0.695095954,0.7101750230209252,-0.849043851,0
1.8254081835088778,1.4758943823381052,0.25207283053311286,-1.288765041,-0.695095954,0.7608852384137478,0.19592165634295144,1
1.8254081835088778,0.5669804118692274,0.5619221830685996,-1.288765041,-0.695095954,-0.620968131,2.926120553325065,0
-0.845778925,2.134073464401775,-0.470908992,0.1541761550241778,6.647145772255301,-0.240641516,-0.223876625,1
0.34141534569347776,1.4132106602368033,0.14878971302128394,-0.09677014,0.8236892729290621,-0.785776331,0.3469282325034664,1
0.9350124808196377,-0.655352169,-3.569402517,-1.288765041,-0.695095954,-0.253319069,0.035854685612805276,1
-1.142577492,-0.09119867,0.7684884180922575,1.6598539243028492,1.3010217728738358,1.7497344385737923,0.23820349766789572,1
0.9350124808196377,-0.435959142,0.25207283053311286,-1.288765041,-0.695095954,-0.304029285,-0.658775565,1
-0.845778925,-0.561326586,-2.020155755,1.0952247608233474,0.025242182112349826,1.4327955923686497,-0.873204903,0
-0.845778925,-0.185224253,0.045506595509454996,0.5933321710637903,0.13806622755384176,0.3298484075747541,0.17176060415726901,1
